;--- H
;; HA'_1
;; AiHotabas_1
AiHotabas       PV      confine;retain
Hotabis IV      confine;retain
;; Habos_1
Habos   N       confinement;custody
Hubuws  N       prison
;; Hibos_1
Hibos   Ndu     dam;barrage
>aHobAs N       dams;barrages
;; Hubosap_1
Hubos   Nap     impediment;aphasia
;; Habuws_1
Habuws  N       habous (Maghrebi waqf);foundation
;; Habiys_1
Habiys  N/ap    secluded;restrained     [[Habiys/ADJ]]
HubasA' N0_Nh   hermits
HubasA& Nh      hermits
HubasA} Nhy     hermits
;; maHobas_1
maHobas Ndu     prison;cell
maHobis Ndu     prison;cell
maHAbis Ndip    prisons;cells;shutoff valves
;; miHobas_1
miHobas Ndu     shutoff valve
;; maHobasap_1
maHobas Nap     hermitage
;; AinoHibAs_1
AinoHibAs       NduAt   seclusion;confinement
;; AiHotibAs_1
AiHotibAs       NduAt   retention;obstruction
;; maHobuws_1
maHobuws        Nall    imprisoned;detained     [[maHobuws/ADJ]]
maHobuws        Nall    detainee
maHAbiys        Ndip    detainees
;
;--- Hb$
;; Haba$_1
Haba$   N       Ethiopia;Abyssinia
Haba$   Nap     Ethiopia;Abyssinia
;; Haba$iy~_1
Haba$iy~        N0      Habashi
;; Haba$iy~_2
Haba$iy~        Nall    Ethiopian;Abyssinian     [[Haba$iy~/NOUN]]
Haba$iy~        Nall    Ethiopian;Abyssinian     [[Haba$iy~/ADJ]]
>aHobA$ N       Ethiopians;Abyssinians
;
;--- HbT
;; HabaT-i_1
HabaT   PV      fail;abort
HobiT   IV      fail;abort
;; >aHobaT_1
>aHobaT PV      foil;thwart
HobiT   IV_yu   foil;thwart
HobaT   IV_Pass_yu      be foiled;be thwarted
;; HabaT_1
HabaT   N       scar;welt
;; HubuwT_1
HubuwT  N       failure;futility
;; <iHobAT_1
<iHobAT NduAt   thwarting;defeating
<iHobAT NduAt   defeat;frustration
;; muHobiT_1
muHobiT Nall    fruitless;worthless     [[muHobiT/ADJ]]
;
;--- Hbq
;; Habaq_1
Habaq   N       basil;marjoram
;; Hubayoqap_1
Hubayoqap       Nprop   Hubeiqa
;; HibAq_1
HibAq   N       basil
;; Habaquwq_1
Habaquwq        Ndip    Habbakuk
;
;--- Hbk
;; Habak-ui_1
Habak   PV      weave;tighten
Hobuk   IV      weave;tighten
Hobik   IV      weave;tighten
;; Hab~ak_1
Hab~ak  PV      fasten;twine
Hab~ik  IV_yu   fasten;twine
;; taHab~ak_1
taHab~ak        PV      encircle;surround
taHab~ak        IV      encircle;surround
;; AiHotabak_1
AiHotabak       PV      weave;lace
Hotabik IV      weave;lace
;; Habok_1
Habok   N       weaving
;; Habokap_1
Habok   Nap     web;plot
;; Hubokap_1
Hubok   Napdu   belt;girdle
Hubak   N       belts;girdles
;; HibAk_1
HibAk   N       line
Hubuk   N       orbit
;; HibAkap_1
HibAk   Nap     weaving
;; maHobuwk_1
maHobuwk        Nall    solid;well-knit     [[maHobuwk/ADJ]]
;; muHotabik_1
muHotabik       Nall    interwoven
;
;--- Hbl
;; Habal-u_1
Habal   PV      tie;fetter
Hobul   IV      tie;fetter
;; Habil-a_1
Habil   PV_intr become pregnant;conceive
Hobal   IV_intr become pregnant;conceive
