;--- x
;; xA'_1
AixotibA'       NAn_Nayn        disappearance;hiding
AixotibA}       Nayn    disappearance;hiding
AixotibA'       NAt     disappearance;hiding
AixotibA'       N0_Nh   disappearance;hiding
AixotibAW       Nh      disappearance;hiding
AixotibA}       Nhy     disappearance;hiding
AixotibA'       NAn_Nayn        disappearance;hiding
AixotibA}       Nayn    disappearance;hiding
AixotibA'       NAt     disappearance;hiding
;; xabiy}ap_1
xabiy}  Napdu   secret;cache
xabAyA  N0_Nhy  hidden;natural resources
;; maxobaO_1
maxobaO N0_Nh   hide-out;shelter
maxobaW Nh      hide-out;shelter
maxoba} Nhy     hide-out;shelter
maxoba| N-|     hide-outs;shelters
maxoba} Nayn    hide-outs;shelters
maxoba  N-|t    hide-outs;shelters
maxAbi} Ndip    hide-outs;shelters
;; xibA'_1
xibA'   N0_Nh   tent;husk;hull
xibAW   Nh      tent;husk;hull
xibA}   Nhy     tent;husk;hull
Oaxobi} Nap     tents;husks;hulls
Oaxobiy Nap     tents;husks;hulls
;; xAbi}ap_1
xAbi}   Napdu   cask;jar
xAbiy   Napdu   cask;jar
xawAbi} Ndip    casks;jars
xawAbiy N0_Nh   casks;jars
xawAb   NK      casks;jars
;; muxab~aOap_1
muxab~aO        Napdu   hidden;secret
muxab~a N-|t    hidden;secrets
;; muxotabi}_1
muxotabi}       Nall    hidden;concealed
;
;--- xbt
;; Oaxobat_1
Oaxobat PV-t_intr       be humble
xobit   IV_intr_yu      be humble
;; IixobAt_1
IixobAt NduAt   being humble
;; muxobit_1
muxobit Nall    being humble
;
;--- xbv
;; xabuv-u_1
xabuv   PV_intr be wicked;be malignant
xobuv   IV_intr be wicked;be malignant
;; taxAbav_1
taxAbav PV_intr be malicious;feel embarrassed
taxAbav IV_intr be malicious;feel embarrassed
;; xubov_1
xubov   N       malice;malignancy
;; xabav_1
xabav   N       refuse;dross
;; xabiyv_1
xabiyv  N/ap    malicious;malignant     [[xabiyv/ADJ]]
xubavA' N0_Nh   malicious
xubavAW Nh      malicious
xubavA} Nhy     malicious
;; Oaxobav_1
Oaxobav Nel     worse;more/most malicious
;; xabAvap_1
xabAv   Nap     malice;malignancy
;
;--- xbr
;; xabar-u_1
xabar   PV      try;experience
xobur   IV      try;experience
;; xabur-u_1
xabur   PV      know well
xobur   IV      know well
;; xab~ar_1
xab~ar  PV      notify;inform
xab~ir  IV_yu   notify;inform
;; xAbar_1
xAbar   PV      contact
xAbir   IV_yu   contact
;; Oaxobar_1
Oaxobar PV      notify;communicate
xobir   IV_yu   notify;communicate
xobar   IV_Pass_yu      be notified;be communicated
;; taxab~ar_1
taxab~ar        PV      inquire
taxab~ar        IV      inquire
;; taxAbar_1
taxAbar PV      negotiate;parley
taxAbar IV      negotiate;parley
;; Aixotabar_1
Aixotabar       PV      test;explore
xotabir IV      test;explore
;; Aisotaxobar_1
Aisotaxobar     PV      inquire
sotaxobir       IV      inquire
;; xabar_1
xabar   Ndu     news;report
OaxobAr N       news;reports
;; xubar_1
xubar   N0      Khobar
;; xiborap_1
xibor   NapAt   experience;expertise
;; xabiyr_1
xabiyr  N/ap    expert;specialist
xubarA' N0_Nh   experts;specialists
xubarAW Nh      experts;specialists
xubarA} Nhy     experts;specialists
;; xAbuwr_1
xAbuwr  Ndu     peg;pin;wedge
xawAbiyr        Ndip    pegs;pins;wedges
;; maxobar_1
maxobar N       content;real sense
;; maxobar_2
maxobar Ndu     laboratory
maxAbir Ndip    laboratories
;; mixobAr_1
mixobAr Ndu     test tube
maxAbiyr        Ndip    test tubes
;; muxAbarap_1
muxAbar Nap     correspondence;communication
;; muxAbarAt_1
muxAbar NAt     intelligence service;secret service
;; muxAbarAtiy~_1
muxAbarAtiy~    Nall    intelligence service;secret service     [[muxAbarAtiy~/ADJ]]
;; IixobAr_1
IixobAr NduAt   notification;communication
;; IixobAriy~_1
IixobAriy~      Nall    news;information     [[IixobAriy~/ADJ]]
;; taxAbur_1
taxAbur NduAt   communication;intelligence contact
;; AixotibAr_1
AixotibAr       NduAt   testing;experimenting;probing
;; AixotibAriy~_1
AixotibAriy~    Nall    experimental     [[AixotibAriy~/ADJ]]
;; AisotixobAr_1
AisotixobAr     NduAt   intelligence;secret service;inquiry
;; AisotixobAriy~_1
AisotixobAriy~  Nall    undercover;intelligence     [[AisotixobAriy~/ADJ]]
;; AisotixobArAtiy~_1
AisotixobArAtiy~        Nall    intelligence     [[AisotixobArAtiy~/ADJ]]
;; muxobir_1
muxobir Nall    informer;reporter
;; muxotabar_1
muxotabar       NduAt   laboratory
;; muxotabariy~_1
muxotabariy~    Nall    laboratory;experimental     [[muxotabariy~/ADJ]]
;
;--- xbz
;; xabaz-i_1
xabaz   PV      bake
xobiz   IV      bake
;; Aixotabaz_1
Aixotabaz       PV      bake;be baked
xotabiz IV      bake;be baked
;; xuboz_1
xuboz   N       bread
OaxobAz N       bread
xuboz   Nap     loaf of bread
;; xab~Az_1
xab~Az  Nall    baker
;; xibAzap_1
xibAz   Nap     baking
;; maxobaz_1
maxobaz Ndu     bakery
maxobaz Napdu   bakery
maxAbiz Ndip    bakeries
;; maxobuwzAt_1
maxobuwz        NAt     bakery goods
;
;--- xbS
;; xabaS-i_1
xabaS   PV      mix;mingle
xobiS   IV      mix;mingle
;; xab~aS_1
xab~aS  PV      mix;muddle
xab~iS  IV_yu   mix;muddle
;; xabiyS_1
xabiyS  N       medley;mishmash
xabiyS  Nap     medley;mishmash
xabiyS  Nap     khabisah (food)
;; xab~AS_1
xab~AS  Nall    reckless;bungler
;
;--- xbT
;; xabaT-i_1
xabaT   PV      beat;strike
xobiT   IV      beat;strike
;; taxab~aT_1
taxab~aT        PV      strike;collide;stray;stumble;bungle
taxab~aT        IV      strike;collide;stray;stumble;bungle
;; AixotabaT_1
AixotabaT       PV      bump;resist;wander
xotabiT IV      bump;resist;wander
;; xaboT_1
xaboT   N       beating;striking
;; xaboTap_1
xaboT   Nap     blow;coup
;; xubAT_1
xubAT   N       insanity;madness
;; mixobaT_1
mixobaT Ndu     drumstick
maxAbiT Ndip    drumsticks
;; taxab~uT_1
taxab~uT        N/At    stumbling (in the dark);bungling
;
;--- xbE
;; xab~aE_1
xab~aE  PV      hide;conceal
xab~iE  IV_yu   hide;conceal
;
;--- xbl
;; xabal-u_1
xabal   PV      confuse;impede
xobul   IV      confuse;impede
;; xabil-a_1
xabil   PV_intr be confused;be insane
xobal   IV_intr be confused;be insane
;; xab~al_1
xab~al  PV      confound;complicate;muddle
xab~il  IV_yu   confound;complicate;muddle
;; taxab~al_1
taxab~al        PV_intr be confounded;be confused
taxab~al        IV_intr be confounded;be confused
;; Aixotabal_1
Aixotabal       PV_intr be muddled
xotabil IV_intr be muddled
;; xabol_1
xabol   N       confusion;insanity
;; Oaxobal_1
Oaxobal Nel     insane
;; AixotibAl_1
AixotibAl       NduAt   insanity
;; maxobuwl_1
maxobuwl        Nall    insane     [[maxobuwl/ADJ]]
;; muxab~al_1
muxab~al        Nall    confused     [[muxab~al/ADJ]]
;
;; xabA-u_1
xabA    PV_0    die out
xabaw   PV_Atn  die out
xab     PV_ttAw die out
xobuw   IV_0hAnn        die out
xob     IV_0hwnyn       die out
xobaY   IV_0_Pass_yu    die out
;
;--- xtr
;; xatar-i_1
xatar   PV      betray;deceive
xotir   IV      betray;deceive
;; xator_1
xator   N       disloyalty;treachery
;; xat~Ar_1
xat~Ar  Nall    traitor;swindler
;; xAtir_1
xAtir   Nall    perfidious;disloyal     [[xAtir/ADJ]]
;
;--- xtl
;; xatal-iu_1
xatal   PV      double-cross;deceive
xotil   IV      double-cross;deceive
xotul   IV      double-cross;deceive
;; xAtal_1
xAtal   PV      deceive
xAtil   IV_yu   deceive
;; Aixotatal_1
Aixotatal       PV      double-cross;deceive
xotatil IV      double-cross;deceive
;; xatol_1
xatol   N       deception
;; muxAtalap_1
muxAtal NapAt   deception
;; muxAtil_1
muxAtil Nall    deceitful
;
;--- xtm
;; xatam-i_1
xatam   PV      complete;seal;conclude
xotim   IV      complete;seal;conclude
;; Aixotatam_1
Aixotatam       PV      conclude;terminate
xotatim IV      conclude;terminate
Auxotutim       PV_Pass be concluded;be terminated
xotatam IV_Pass_yu      be concluded;be terminated
;; xatom_1
xatom   N       seal;stamp
OaxotAm N       seals;stamps
xutuwm  N       seals;stamps
;; xAtam_1
xAtam   Ndu     ring;seal
xAtim   Ndu     ring;seal
xawAtim Ndip    rings;seals
;; xAtimiy~_1
xAtimiy~        N0      Khatimi
;; xAtAm_1
xAtAm   Ndu     ring;seal
xawAtiym        Ndip    rings;seals
;; xitAm_1
xitAm   N       conclusion
;; xitAmiy~_1
xitAmiy~        Nall    concluding;final     [[xitAmiy~/ADJ]]
;; AixotitAm_1
AixotitAm       NduAt   close;conclusion;end
;; xAtimap_1
xAtim   Napdu   conclusion;epilogue
;; muxat~am_1
muxat~am        Nall    ringed     [[muxat~am/ADJ]]
;; muxotatam_1
muxotatam       Nall    conclusion;end
;
;--- xtn
;; xatan-i_1
xatan   PV-n    circumcise
xotin   IV-n    circumcise
;; Aixotatan_1
Aixotatan       PV-n_intr       be circumcised
xotatin IV-n_intr       be circumcised
;; xaton_1
xaton   N       circumcision
;; xaton_2
xaton   Ndu     son-in-law;bridegroom
OaxotAn N       sons-in-law;bridegrooms
;; xitAn_1
xitAn   N       circumcision
xitAn   Nap     circumcision
;; xAtuwn_1
xAtuwn  Ndu     lady
xawAtiyn        Ndip    ladies
;
;--- xvr
;; xavar-u_1
xavar   PV      thicken;curdle;coagulate
xovur   IV      thicken;curdle;coagulate
;; xavir-a_1
xavir   PV      thicken;curdle;coagulate
xovar   IV      thicken;curdle;coagulate
;; xav~ar_1
xav~ar  PV      thicken;condense;curdle
xav~ir  IV_yu   thicken;condense;curdle
;; Oaxovar_1
Oaxovar PV      thicken;condense;curdle
xovir   IV_yu   thicken;condense;curdle
xovar   IV_Pass_yu      be thickened;be condensed;be curdled
;; taxav~ar_1
taxav~ar        PV      thicken;curdle;coagulate
taxav~ar        IV      thicken;curdle;coagulate
;; xavorap_1
xavor   Nap     thrombosis
;; xavorAn_1
xavorAn N0      Khathran
;; xuvAr_1
xuvAr   N       dregs;sediment
xuvAr   Nap     dregs;sediment
;; taxav~ur_1
taxav~ur        NduAt   coagulation
;; xAvir_1
xAvir   N-ap    viscous;coagulated     [[xAvir/ADJ]]
;; muxav~ir_1
muxav~ir        Ndu     coagulant
muxav~ir        NAt     coagulants
;; muxav~ar_1
muxav~ar        N-ap    viscous;coagulated     [[muxav~ar/ADJ]]
;
;--- xjl
;; xajil-a_1
xajil   PV_intr be ashamed;be shy
xojal   IV_intr be ashamed;be shy
;; xaj~al_1
xaj~al  PV      shame;embarrass
xaj~il  IV_yu   shame;embarrass
;; Oaxojal_1
Oaxojal PV      embarrass
xojil   IV_yu   embarrass
xojal   IV_Pass_yu      be embarrassed
;; xajal_1
xajal   N       shame;shyness
;; xajuwl_1
xajuwl  Nall    shy;embarrassed
;; xajolAn_1
xajolAn Ndip    shy;embarrassed
;; maxojuwl_1
maxojuwl        Nall    ashamed     [[maxojuwl/ADJ]]
;; muxojil_1
muxojil Nall    shameful;embarrassing     [[muxojil/ADJ]]
;
;--- xd
;; xad~-u_1
xad~    PV_V    furrow;plow
xadad   PV_C    furrow;plow
xud~    IV_V    furrow;plow
xodud   IV_C    furrow;plow
;; taxad~ad_1
taxad~ad        PV_intr be furrowed;become wrinkled
taxad~ad        IV_intr be furrowed;become wrinkled
;; xad~_1
xad~    Ndu     cheek;side;furrow
xuduwd  N       cheeks;side
;; xud~ap_1
xud~    Napdu   furrow;groove
;; Ouxoduwd_1
Ouxoduwd        Ndu     slot;groove;furrow
OaxAdiyd        Ndip    slots;grooves;furrows
;; mixad~ap_1
mixad~  Napdu   cushion;pillow
;
;--- xdj
;; xadiyj_1
xadiyj  Ndu     premature baby;preemie
xuduj   N       premature babies;preemies
;; xidAj_1
xidAj   N       abortion;miscarriage
;; xadiyjap_1
xadiyjap        Nprop   Khadija
;
;--- xdr
;; xadir-a_1
xadir   PV_intr be numb;be paralyzed
xodar   IV_intr be numb;be paralyzed
;; xadar-u_1
xadar   PV      confine;seclude
xodur   IV      confine;seclude
;; xad~ar_1
xad~ar  PV      make numb;anesthetize;seclude
xad~ir  IV_yu   make numb;anesthetize;seclude
;; Oaxodar_1
Oaxodar PV      make numb;anesthetize
xodir   IV_yu   make numb;anesthetize
xodar   IV_Pass_yu      be made numb;be anesthetized
;; taxad~ar_1
taxad~ar        PV_intr be numbed;be stunned;calm down
taxad~ar        IV_intr be numbed;be stunned;calm down
;; xidor_1
xidor   N       curtain;boudoir
xuduwr  N       curtains
OaxodAr N       curtains
OaxAdiyr        Ndip    curtains
;; xadar_1
xadar   N       numbness;daze
;; xudorap_1
xudor   Nap     numbness;daze
;; xadorAn_1
xadorAn Ndip    numb;dazed     [[xadorAn/ADJ]]
;; taxodiyr_1
taxodiyr        NduAt   narcotization;anesthesia
;; IixodAr_1
IixodAr N       analgesia
;; xAdir_1
xAdir   Nall    dazed;languid     [[xAdir/ADJ]]
;; muxad~ir_1
muxad~ir        Ndu     anesthetic
muxad~ir        NAt     narcotics;drugs
;; muxad~ar_1
muxad~ar        Nall    drunk;dopped     [[muxad~ar/ADJ]]
muxad~ar        Nall    anesthetized     [[muxad~ar/ADJ]]
;
;--- xd$
;; xada$-i_1
xada$   PV      scratch;offend;ruin
xodi$   IV      scratch;offend;ruin
;; xad~a$_1
xad~a$  PV      scratch;offend;ruin
xad~i$  IV_yu   scratch;offend;ruin
;; taxad~a$_1
taxad~a$        PV_intr be scratched;be offended;be ruined
taxad~a$        IV_intr be scratched;be offended;be ruined
;; Ainoxada$_1
Ainoxada$       PV_intr be scratched;be offended;be ruined
noxadi$ IV_intr be scratched;be offended;be ruined
;; xado$_1
xado$   N       scratch;abrasion
xuduw$  N       scratch;abrasion
OaxodA$ N       scratches;abrasions
;
;--- xdE
;; xadaE-a_1
xadaE   PV      deceive
xodaE   IV      deceive
;; xAdaE_1
xAdaE   PV      deceive
xAdiE   IV_yu   deceive
;; AinoxadaE_1
AinoxadaE       PV_intr be deceived
noxadiE IV_intr be deceived
;; xadoE_1
xadoE   N       deception
;; xudoEap_1
xudoE   NapAt   deception
;; xadiyE_1
xadiyE  Nap     deception;lie
xadA}iE Ndip    deceptions
;; xayodaE_1
xayodaE Ndu     mirage
;; xad~AE_1
xad~AE  Nall    impostor;crook
;; IixodAE_1
IixodAE N       swindling;deception
OaxAdiyE        Ndip    swindles;deceptions
;; mixodaE_1
mixodaE N       chamber
maxAdiE Ndip    chambers
;; xidAE_1
xidAE   N       deception
;; xidAEiy~_1
xidAEiy~        Nall    deceitful;deceptive     [[xidAEiy~/ADJ]]
;; xAdiE_1
xAdiE   Nall    deceitful;deceptive     [[xAdiE/ADJ]]
;; muxAdiE_1
muxAdiE Nall    swindler;crook
;
;--- xdl
;; xadil-a_1
xadil   PV      stiffen;be numb
